# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 9K of event 'cycles:u'
# Event count (approx.): 29967404716
#
# Overhead  Symbol                               Shared Object                     IPC   [IPC Coverage]
# ........  ...................................  ................................  ....................
#
     0.03%  [.] 0x000000006fb1e800               [JIT] tid 45815                   -      -            
     0.03%  [.] 0x000000000121b006               libmali.so.1.10.0                 -      -            
     0.03%  [.] 0x00000000001f2090               libmali.so.1.10.0                 -      -            
     0.03%  [.] 0x00000000001b0ce0               libmali.so.1.10.0                 -      -            
     0.03%  [.] 0x00000000011f4c94               libmali.so.1.10.0                 -      -            
     0.03%  [.] 0x000000006e4a47c0               [JIT] tid 45815                   -      -            
     0.03%  [.] 0x000000006fb1a694               [JIT] tid 45815                   -      -            
     0.03%  [.] 0x000000000120ea48               libmali.so.1.10.0                 -      -            
     0.03%  [.] 0x0000000000232120               libmali.so.1.10.0                 -      -            
     0.03%  [.] 0x000000000023cada               libmali.so.1.10.0                 -      -            
     0.03%  [.] 0x000000006fb1e860               [JIT] tid 45815                   -      -            
